Population size: 100
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	1	121
8	3	121
9	3	121
10	3	121
11	3	121
12	3	121
13	4	117
14	4	113
15	4	113
16	4	113
17	4	113
18	6	113
19	7	113
20	7	113
21	7	113
22	7	113
23	7	113
24	7	113
25	7	113
26	7	113
27	7	113
28	7	113
29	7	113
30	7	113
31	7	113
32	7	113
33	7	113
34	7	113
35	7	113
36	7	113
37	7	113
38	7	113
39	7	113
40	7	113
41	7	113
42	7	113
43	7	113
44	7	113
45	11	113
46	11	113
47	11	113
48	11	113
49	11	113
50	11	113
