Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	2	176
4	4	167
5	4	167
6	4	161
7	4	161
8	4	161
9	4	161
10	4	161
11	4	161
12	5	161
13	5	161
14	5	135
15	5	126
16	6	119
17	10	116
18	10	116
19	10	112
20	10	107
21	10	106
22	13	106
23	19	106
24	19	106
25	19	106
26	19	105
27	19	105
28	19	105
29	19	105
30	19	105
31	19	105
32	19	105
33	19	105
34	19	105
35	19	105
36	19	105
37	19	105
38	24	105
39	24	105
40	24	102
41	24	101
42	24	101
43	24	99
44	24	99
45	24	99
46	24	99
47	24	99
48	24	98
49	24	98
50	24	98
