Population size: 300
Mutation rate: 0.1
Random ones: 60
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	1	110
9	1	110
10	8	106
11	8	106
12	8	106
13	8	103
14	8	103
15	8	103
16	8	100
17	11	96
18	12	96
19	12	96
20	12	96
21	12	95
22	12	93
23	12	93
24	12	93
25	12	93
26	12	93
27	12	93
28	12	93
29	12	93
30	12	92
31	12	91
32	12	90
33	12	90
34	12	90
35	12	90
36	12	90
37	12	90
38	12	90
39	12	90
40	12	90
41	12	90
42	12	90
43	12	90
44	12	90
45	12	89
46	12	89
47	12	89
48	13	89
49	13	89
50	13	88
