Population size: 200
Mutation rate: 0.2
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	1	133
4	1	133
5	1	133
6	1	133
7	1	133
8	1	133
9	1	133
10	1	133
11	1	133
12	1	133
13	1	133
14	1	133
15	1	133
16	1	133
17	1	127
18	2	114
19	2	114
20	2	114
21	2	114
22	2	114
23	2	114
24	2	114
25	2	114
26	2	114
27	2	114
28	2	114
29	2	114
30	2	114
31	2	114
32	2	114
33	2	114
34	2	114
35	2	114
36	2	114
37	2	114
38	2	114
39	2	114
40	2	114
41	2	114
42	2	114
43	2	114
44	2	114
45	2	114
46	2	114
47	2	114
48	2	114
49	2	114
50	2	114
