Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	0	500	500
3	0	0	500	500
4	0	0	500	500
5	0	0	500	500
6	0	0	500	500
7	0	0	500	500
8	0	0	500	500
9	0	0	500	500
10	0	0	500	500
11	0	0	500	500
12	0	0	500	500
13	0	2	500	132
14	0	6	500	123
15	0	6	500	118
16	0	11	500	113
17	0	11	500	113
18	0	11	500	108
19	0	11	500	108
20	0	11	500	108
21	0	11	500	107
22	0	12	500	105
23	0	12	500	105
24	0	12	500	105
25	0	12	500	105
26	0	12	500	105
27	0	14	500	105
28	0	14	500	105
29	0	14	500	105
30	0	14	500	105
31	0	14	500	105
32	0	14	500	105
33	0	14	500	105
34	0	14	500	105
35	0	14	500	105
36	0	14	500	105
37	0	14	500	105
38	0	14	500	105
39	0	14	500	105
40	0	14	500	105
41	0	14	500	105
42	0	14	500	105
43	0	14	500	105
44	0	14	500	105
45	0	14	500	105
46	0	14	500	105
47	0	14	500	105
48	0	14	500	105
49	0	14	500	104
50	0	14	500	102
