Population size: 200
Mutation rate: 0.05
Random ones: 100
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	0	500
9	1	146
10	1	134
11	1	134
12	1	134
13	1	134
14	1	134
15	1	134
16	1	134
17	1	134
18	1	134
19	1	134
20	1	134
21	1	134
22	1	134
23	1	134
24	1	134
25	1	134
26	1	134
27	1	134
28	1	134
29	1	134
30	1	134
31	1	134
32	1	134
33	1	134
34	1	134
35	1	134
36	1	134
37	1	134
38	1	134
39	1	134
40	1	134
41	1	134
42	1	134
43	1	134
44	1	134
45	1	134
46	1	134
47	1	134
48	1	134
49	1	134
50	1	134
