Population size: 300
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	2	112
9	5	112
10	7	112
11	8	112
12	8	112
13	8	107
14	8	107
15	8	106
16	14	103
17	14	103
18	14	101
19	15	101
20	15	101
21	21	101
22	21	101
23	21	100
24	21	100
25	21	98
26	21	98
27	21	94
28	24	94
29	24	94
30	24	94
31	24	94
32	30	94
33	30	94
34	30	94
35	30	94
36	30	94
37	30	94
38	30	94
39	30	94
40	30	94
41	30	94
42	30	92
43	30	92
44	30	90
45	32	90
46	37	90
47	37	90
48	38	90
49	38	90
50	38	90
