Population size: 300
Mutation rate: 0.1
Random ones: 60
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	2	110
8	3	102
9	3	102
10	3	102
11	4	102
12	4	102
13	5	100
14	11	100
15	11	100
16	11	99
17	11	99
18	11	97
19	11	97
20	11	97
21	11	97
22	11	97
23	11	97
24	11	97
25	11	97
26	11	97
27	18	97
28	18	96
29	18	96
30	18	96
31	18	96
32	18	96
33	18	96
34	18	96
35	18	94
36	18	91
37	18	91
38	18	91
39	18	91
40	18	91
41	18	91
42	18	91
43	18	91
44	18	91
45	18	91
46	18	91
47	18	91
48	18	91
49	18	91
50	18	91
