Population size: 200
Mutation rate: 0.1
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	1	172
7	1	162
8	1	162
9	1	162
10	1	162
11	1	162
12	1	162
13	1	162
14	1	162
15	1	162
16	1	162
17	1	162
18	1	162
19	1	162
20	1	162
21	1	162
22	8	115
23	8	115
24	8	115
25	8	115
26	8	115
27	8	115
28	8	115
29	8	115
30	8	115
31	8	111
32	8	101
33	8	101
34	8	101
35	8	101
36	8	101
37	8	101
38	8	101
39	8	101
40	8	101
41	8	101
42	8	101
43	8	101
44	8	101
45	8	101
46	8	101
47	8	101
48	8	101
49	8	101
50	8	101
