Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	0	500	500
3	0	0	500	500
4	0	0	500	500
5	0	0	500	500
6	0	0	500	500
7	0	0	500	500
8	0	0	500	500
9	0	0	500	500
10	0	0	500	500
11	0	0	500	500
12	0	0	500	500
13	0	0	500	500
14	0	0	500	500
15	0	0	500	500
16	0	0	500	500
17	0	0	500	500
18	0	0	500	500
19	0	0	500	500
20	0	1	500	113
21	0	17	500	107
22	0	17	500	102
23	0	17	500	102
24	0	19	500	100
25	0	19	500	98
26	0	20	500	98
27	0	20	500	97
28	0	20	500	97
29	0	20	500	97
30	0	20	500	95
31	0	20	500	95
32	0	21	500	95
33	0	21	500	95
34	0	32	500	93
35	0	32	500	93
36	0	32	500	93
37	0	32	500	93
38	0	32	500	91
39	0	32	500	91
40	0	32	500	91
41	0	32	500	91
42	0	32	500	91
43	0	32	500	91
44	0	32	500	91
45	0	32	500	91
46	0	32	500	90
47	0	32	500	90
48	0	32	500	90
49	0	32	500	90
50	0	32	500	90
