Population size: 200
Mutation rate: 0.05
Random ones: 25
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	0	500
9	0	500
10	2	125
11	6	122
12	6	122
13	11	120
14	11	120
15	12	116
16	12	116
17	12	116
18	12	116
19	12	116
20	12	116
21	12	116
22	12	116
23	12	112
24	14	112
25	14	112
26	14	102
27	14	102
28	14	102
29	14	102
30	14	102
31	22	102
32	22	101
33	22	101
34	22	98
35	22	98
36	22	98
37	22	98
38	22	98
39	22	98
40	22	98
41	22	98
42	22	98
43	22	98
44	22	98
45	22	98
46	22	98
47	22	98
48	22	97
49	22	96
50	22	93
