Population size: 300
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	1	138
3	18	130
4	18	124
5	18	124
6	18	124
7	18	124
8	18	117
9	18	112
10	18	112
11	18	111
12	20	111
13	24	106
14	24	106
15	24	104
16	24	104
17	24	104
18	24	104
19	24	104
20	24	104
21	24	104
22	24	104
23	24	104
24	24	102
25	35	102
26	35	101
27	35	101
28	37	98
29	37	97
30	37	97
31	37	97
32	37	97
33	37	96
34	37	96
35	37	95
36	37	95
37	37	95
38	37	95
39	37	95
40	37	95
41	37	95
42	37	95
43	40	95
44	40	93
45	40	92
46	40	92
47	40	92
48	47	92
49	47	92
50	47	92
